timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
270336,541.177057849307,1.0,7.1884766,100.0,20.00437,-1.0,0.96069336,2.0,0.3686545,0.87186193,0.021772757,0.015226772,0.006545984,1.4112147,0.0084228515625,0.0406494140625
278528,549.7600184526211,1.0,6.958008,100.0,19.682137,-1.0,0.9642334,2.0,0.36452165,0.8783066,0.023896832,0.01575971,0.008137119,1.3757546,0.007568359375,0.0416259765625
286720,554.7033506387783,1.0,6.890625,100.0,19.594688,-1.0,0.9641113,2.0,0.3633356,0.8800099,0.026674522,0.014252201,0.012422322,1.3986396,0.0076904296875,0.041015625
294912,553.0720338026808,1.0,6.9433594,100.0,19.748009,-1.0,0.9671631,2.0,0.3614355,0.8816496,0.022979563,0.01457998,0.0083995825,1.3691245,0.0069580078125,0.04248046875
303104,548.745121952505,1.0,6.7073975,100.0,19.272465,-1.0,0.9720459,2.0,0.35227334,0.8853729,0.021480355,0.012862647,0.00861771,1.3214914,0.0062255859375,0.042236328125
311296,552.4772460851278,1.0,6.5750732,100.0,19.172077,-1.0,0.97558594,2.0,0.35443568,0.89336675,0.024495844,0.01899343,0.0055024144,1.308225,0.00634765625,0.0445556640625
319488,542.4829232701164,1.0,6.6689453,100.0,19.459845,-1.0,0.97753906,2.0,0.35764992,0.89616203,0.021546628,0.014503094,0.0070435335,1.3107041,0.0059814453125,0.0469970703125
327680,541.1032951536067,1.0,6.713501,100.0,19.619486,-1.0,0.97839355,2.0,0.36059162,0.898028,0.0229997,0.016203895,0.006795807,1.2011471,0.006103515625,0.04833984375
335872,531.4881248391582,1.0,6.7529297,100.0,19.798979,-1.0,0.97802734,2.0,0.36107698,0.8982164,0.021536894,0.0143009415,0.0072359527,1.2702221,0.0059814453125,0.0484619140625
344064,538.4327961725348,1.0,6.7474365,100.0,19.91052,-1.0,0.97595215,2.0,0.3611138,0.89885145,0.023164283,0.015456516,0.0077077677,1.3327942,0.0059814453125,0.0474853515625
352256,544.6047418252716,1.0,6.4920654,100.0,19.461386,-1.0,0.9753418,2.0,0.3622539,0.9016831,0.026310451,0.017311143,0.008999307,1.2278302,0.006103515625,0.0474853515625
360448,560.035968535062,1.0,6.5595703,100.0,19.595629,-1.0,0.97180176,2.0,0.3708241,0.89986265,0.026430959,0.0180306,0.00840036,1.2915273,0.0072021484375,0.0478515625
368640,547.2671667955765,1.0,6.6936035,100.0,19.970001,-1.0,0.9683838,2.0,0.37219188,0.89776677,0.023649652,0.01542821,0.008221444,1.2893226,0.0068359375,0.047119140625
376832,560.2556775929041,1.0,6.6585693,100.0,19.96531,-1.0,0.9691162,2.0,0.36929026,0.8988886,0.022242522,0.015361395,0.006881127,1.1930938,0.00634765625,0.046875
385024,556.2090491692544,1.0,6.643921,100.0,19.999939,-1.0,0.9671631,2.0,0.37567762,0.9000626,0.026596062,0.018046472,0.008549588,1.1064303,0.007080078125,0.047607421875
393216,543.4943932495331,1.0,6.6070557,100.0,19.873657,-1.0,0.9691162,2.0,0.3803631,0.9025968,0.026463956,0.01715877,0.009305185,1.1192386,0.0072021484375,0.0501708984375
401408,541.5171118976723,1.0,6.506592,100.0,19.642414,-1.0,0.9707031,2.0,0.38096952,0.9044835,0.02638479,0.01863599,0.0077487975,1.1771716,0.00732421875,0.051025390625
409600,543.0848206320695,1.0,6.4782715,100.0,19.68935,-1.0,0.9729004,2.0,0.37629718,0.90700036,0.022399142,0.01514589,0.0072532524,1.2345115,0.00634765625,0.05126953125
417792,541.9114932874461,1.0,6.3459473,100.0,19.383024,-1.0,0.973999,2.0,0.3676795,0.90724885,0.022758244,0.016036803,0.0067214426,1.151628,0.0057373046875,0.0491943359375
425984,540.5665118509727,1.0,6.1123047,100.0,18.878462,-1.0,0.97595215,2.0,0.3651477,0.90980273,0.022632534,0.016607871,0.0060246633,1.1578368,0.006103515625,0.048828125
434176,539.6258029036612,1.0,6.105835,100.0,18.92638,-1.0,0.9752197,2.0,0.36140218,0.90900725,0.021639364,0.0150477365,0.0065916283,1.1480863,0.0057373046875,0.0474853515625
442368,533.2705773587264,1.0,6.0075684,100.0,18.711033,-1.0,0.9749756,2.0,0.35593978,0.9085861,0.023887288,0.015976686,0.0079106,1.1532096,0.0052490234375,0.0458984375
450560,557.1583986633285,1.0,6.03125,100.0,18.794056,-1.0,0.9764404,2.0,0.35672474,0.91074216,0.02435021,0.016827304,0.007522904,1.1783078,0.0052490234375,0.046875
458752,557.232537178851,1.0,6.1435547,100.0,19.066896,-1.0,0.975708,2.0,0.35461622,0.90990144,0.021509588,0.014181519,0.007328069,1.1627032,0.0048828125,0.046142578125
466944,551.3737031286058,1.0,6.1243896,100.0,19.12324,-1.0,0.97924805,2.0,0.3580942,0.9139459,0.025627317,0.01643686,0.009190457,1.0753374,0.0048828125,0.049072265625
475136,556.9976748574263,1.0,6.3085938,100.0,19.490955,-1.0,0.979126,2.0,0.36299646,0.91340995,0.023688875,0.015863128,0.007825747,1.2035316,0.004638671875,0.051025390625
483328,545.5423242928322,1.0,6.279785,100.0,19.438984,-1.0,0.98095703,2.0,0.3615811,0.9163482,0.022527365,0.01631875,0.006208612,1.1271975,0.0042724609375,0.0517578125
491520,554.5557020017693,1.0,6.4346924,100.0,19.868946,-1.0,0.97961426,2.0,0.3633603,0.9161221,0.02146686,0.014046326,0.0074205333,1.1420087,0.004638671875,0.0513916015625
499712,547.3061678067824,1.0,6.3601074,100.0,19.742865,-1.0,0.97998047,2.0,0.3594967,0.91750985,0.026915725,0.018802444,0.008113284,1.1379158,0.004638671875,0.0501708984375
507904,554.210558356066,1.0,6.296875,100.0,19.646757,-1.0,0.9824219,2.0,0.36097956,0.9200684,0.022443604,0.016057856,0.006385748,1.1744328,0.004638671875,0.0518798828125
516096,555.0721170015636,1.0,6.5045166,100.0,20.044397,-1.0,0.9770508,2.0,0.36438182,0.91448426,0.023866277,0.014411926,0.009454351,1.1673756,0.0054931640625,0.0496826171875
524288,553.0627130086315,1.0,6.4067383,100.0,19.82269,-1.0,0.9729004,2.0,0.3603898,0.91214883,0.022876795,0.01635165,0.006525145,1.0980215,0.0057373046875,0.0460205078125
532480,550.2047633683561,1.0,6.179077,100.0,19.3152,-1.0,0.9782715,2.0,0.3559847,0.9164976,0.027240343,0.019585665,0.0076546795,1.1060205,0.005126953125,0.047607421875
540672,555.1927588352264,1.0,5.963257,100.0,18.719742,-1.0,0.98217773,2.0,0.35517204,0.91973907,0.022260748,0.015921239,0.00633951,1.1663501,0.0047607421875,0.049560546875
548864,559.9367176735528,1.0,6.1971436,100.0,19.260603,-1.0,0.98205566,2.0,0.35499406,0.91800773,0.021668896,0.014123487,0.0075454097,1.1786115,0.0042724609375,0.0499267578125
557056,552.1690843318065,1.0,6.3814697,100.0,19.676506,-1.0,0.9812012,2.0,0.35166746,0.9161593,0.019728182,0.013440663,0.00628752,1.1700244,0.00390625,0.0487060546875
565248,552.6193991955273,1.0,6.0494385,100.0,18.891987,-1.0,0.9848633,2.0,0.3398434,0.91785055,0.02265694,0.015976422,0.0066805216,1.1771907,0.0030517578125,0.0472412109375
